CÓDIGO DE NEGOCIAÇÃO;NOME DA EMPRESA
ELET3;CENTRAIS ELET BRAS S.A. - ELETROBRAS
CMIG4;CIA ENERGETICA DE MINAS GERAIS - CEMIG
GGBR4;GERDAU S.A.
CSNA3;CIA SIDERURGICA NACIONAL
VALE3;VALE S.A.
BRKM5;BRASKEM S.A.
RADL3;RAIA DROGASIL S.A.
WEGE3;WEG S.A.
TUPY3;TUPY S.A.
LAME4;LOJAS AMERICANAS S.A.
LREN3;LOJAS RENNER S.A.
POMO4;MARCOPOLO S.A.
LEVE3;MAHLE-METAL LEVE S.A.
GOAU4;METALURGICA GERDAU S.A.
PETR4;PETROLEO BRASILEIRO S.A. PETROBRAS
ALPA4;ALPARGATAS S.A.
MYPK3;IOCHPE MAXION S.A.
RAPT4;RANDON S.A. IMPLEMENTOS E PARTICIPACOES
CPLE6;CIA PARANAENSE DE ENERGIA - COPEL
USIM5;USINAS SID DE MINAS GERAIS S.A.-USIMINAS
CYRE3;CYRELA BRAZIL REALTY S.A.EMPREEND E PART
GFSA3;GAFISA S.A.
BRFS3;BRF S.A.
PSSA3;PORTO SEGURO S.A.
EGIE3;ENGIE BRASIL ENERGIA S.A.
COGN3;COGNA EDUCAÇÃO S.A.
TRPL4;CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA
UGPA3;ULTRAPAR PARTICIPACOES S.A.
CPFE3;CPFL ENERGIA S.A.
CCRO3;CCR S.A.
CSMG3;CIA SANEAMENTO DE MINAS GERAIS-COPASA MG
ECOR3;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.
GOLL4;GOL LINHAS AEREAS INTELIGENTES S.A.
GRND3;GRENDENE S.A.
RENT3;LOCALIZA RENT A CAR S.A.
ENBR3;EDP - ENERGIAS DO BRASIL S.A.
CSAN3;COSAN S.A.
LIGT3;LIGHT S.A.
BRML3;BR MALLS PARTICIPACOES S.A.
BRPR3;BR PROPERTIES S.A.
TOTS3;TOTVS S.A.
EQTL3;EQUATORIAL ENERGIA S.A.
VLID3;VALID SOLUÇÕES S.A.
EMBR3;EMBRAER S.A.
ODPV3;ODONTOPREV S.A.
TAEE11;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.
MDIA3;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS
TCSA3;TECNISA S.A.
IGTA3;IGUATEMI EMPRESA DE SHOPPING CENTERS S.A
EVEN3;EVEN CONSTRUTORA E INCORPORADORA S.A.
JBSS3;JBS S.A.
SLCE3;SLC AGRICOLA S.A.
EZTC3;EZ TEC EMPREEND. E PARTICIPACOES S.A.
MRFG3;MARFRIG GLOBAL FOODS S.A.
MRVE3;MRV ENGENHARIA E PARTICIPACOES S.A.
BEEF3;MINERVA S.A.
MULT3;MULTIPLAN - EMPREEND IMOBILIARIOS S.A.
BTOW3;B2W - COMPANHIA DIGITAL
YDUQ3;YDUQS PARTICIPACOES S.A.
DTEX3;DURATEX S.A.
SULA11;SUL AMERICA S.A.
DIRR3;DIRECIONAL ENGENHARIA S.A.
HYPE3;HYPERA S.A.
ALUP11;ALUPAR INVESTIMENTO S/A
B3SA3;B3 S.A. - BRASIL, BOLSA, BALCÃO
CIEL3;CIELO S.A.
FLRY3;FLEURY S.A.
ARZZ3;AREZZO INDÚSTRIA E COMÉRCIO S.A.
ENAT3;ENAUTA PARTICIPAÇÕES S.A.
MGLU3;MAGAZINE LUIZA S.A.
QUAL3;QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.
LINX3;LINX S.A.
SEER3;SER EDUCACIONAL S.A.
ANIM3;ANIMA HOLDING S.A.
ABEV3;AMBEV S.A.
CVCB3;CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.
